"edge","parent","child","depth_start","depth_end","interval_length","value","color_bin","rate_for_flagging","rate_flag","rate_flag_source","is_near_zero","is_high_outlier","rate_category","mean","median","sd","q025","q975","highest_density_interval_low","highest_density_interval_high","n","ci_width","highest_density_interval_width","cv","clade_key","descendant_tips","descendant_examples"
166,158,171,14.949413,32.102483,17.15307,-16.9299540871652,2,4.44032093632141e-08,"regular","value",FALSE,FALSE,"-17 to -16",-16.9299540871652,-17.1880831113382,1.32307577186039,-18.400513594018,-15.3551372490344,-18.4718971690061,-15.3350442383446,6,3.04537634498366,3.13685293066152,0.0781499917275871,"Cheirolepis_jonesi | Cheirolepis_trailli",2,"Cheirolepis jonesi; Cheirolepis trailli"
167,171,84,32.102483,50.693843,18.59136,-16.9299540871652,2,4.44032093632141e-08,"regular","value",FALSE,FALSE,"-17 to -16",-16.9299540871652,-17.1880831113382,1.32307577186039,-18.400513594018,-15.3551372490344,-18.4718971690061,-15.3350442383446,6,3.04537634498366,3.13685293066152,0.0781499917275871,"Cheirolepis_jonesi",1,"Cheirolepis jonesi"
168,171,85,32.102483,42.375963,10.27348,-16.9299540871652,2,4.44032093632141e-08,"regular","value",FALSE,FALSE,"-17 to -16",-16.9299540871652,-17.1880831113382,1.32307577186039,-18.400513594018,-15.3551372490344,-18.4718971690061,-15.3350442383446,6,3.04537634498366,3.13685293066152,0.0781499917275871,"Cheirolepis_trailli",1,"Cheirolepis trailli"
6,94,107,9.58103,11.256923,1.675893,-16.975608776611,2,4.24215742862682e-08,"regular","value",FALSE,FALSE,"-17 to -16",-16.975608776611,-15.8904633032939,3.72933731858899,-23.0795358672262,-13.7231035378074,-23.7251324320332,-13.6662657658318,6,9.35643232941882,10.0588666662014,0.219687986903143,"Cathlorhynchus_trismodipterus | Chirodipterus_australis | Chirodipterus_wildungensis | Diabolepis_speratus | Dipnorhynchus_cathlesae | Dipnorhynchus_kurikae | Dipnorhynchus_sussmilchi | Dipterus_valenciennesi | Griphognathus_sculpta | Griphognathus_whitei | Holodipterus_gogoensis | Holodipterus_santacrucensis | Iowadipterus_halli | Orlovichthys_limnatis | Pillararhynchus_longi | Rhinodipterus_kimberleyensis | Rhinodipterus_ulrichi | Rhynchodipterus_elginensis | Robinsondipterus_longi | Speonesydrion_iani | Uranolophus_wyomingensis | Youngolepis_praecursor",22,"Cathlorhynchus trismodipterus; Chirodipterus australis; ..."
49,94,95,9.58103,12.346647,2.765617,-16.975608776611,2,4.24215742862682e-08,"regular","value",FALSE,FALSE,"-17 to -16",-16.975608776611,-15.8904633032939,3.72933731858899,-23.0795358672262,-13.7231035378074,-23.7251324320332,-13.6662657658318,6,9.35643232941882,10.0588666662014,0.219687986903143,"Arquatichthys_porosus | Asperocephalus_milleri | Asperocephalus_sp | Durialepis_edentatus | Glyptolepis_paucidens | Heimenia_ensis | Holoptychius_bergmanni | Holoptychius_giganteus | Holoptychius_jarviki | Laccognathus_embryi | Porolepis_brevis | Powichthys_thorsteinssoni | Quebecius_quebecensis",13,"Arquatichthys porosus; Asperocephalus milleri; ..."
142,159,161,19.923587,24.42901,4.505423,-16.985668981009,2,4.19969440926466e-08,"regular","value",FALSE,FALSE,"-17 to -16",-16.985668981009,-17.2489410955849,1.37211524949598,-18.4270852683392,-15.3551372490344,-18.4718971690061,-15.3350442383446,6,3.07194801930483,3.13685293066152,0.0807807600059839,"Cuneognathus_gardineri | Gogosardina_coatesi | Howqualepis_rostridens | Kentuckia_hlavini | Limnomis_delayni | Mimipiscis_bartrami | Mimipiscis_toombsi | Moythomasia_durgaringa | Osorioichthys_marginis | Paleoneiros_clackorum | Raynerius_splendens",11,"Cuneognathus gardineri; Gogosardina coatesi; ..."
163,159,160,19.923587,40.203957,20.28037,-16.985668981009,2,4.19969440926466e-08,"regular","value",FALSE,FALSE,"-17 to -16",-16.985668981009,-17.2489410955849,1.37211524949598,-18.4270852683392,-15.3551372490344,-18.4718971690061,-15.3350442383446,6,3.07194801930483,3.13685293066152,0.0807807600059838,"Austelliscus_ferox | Tegeolepis_clarki",2,"Austelliscus ferox; Tegeolepis clarki"
164,160,71,40.203957,44.740353,4.536396,-16.985668981009,2,4.19969440926466e-08,"regular","value",FALSE,FALSE,"-17 to -16",-16.985668981009,-17.2489410955849,1.37211524949598,-18.4270852683392,-15.3551372490344,-18.4718971690061,-15.3350442383446,6,3.07194801930483,3.13685293066152,0.0807807600059838,"Austelliscus_ferox",1,"Austelliscus ferox"
165,160,72,40.203957,67.291297,27.08734,-16.985668981009,2,4.19969440926466e-08,"regular","value",FALSE,FALSE,"-17 to -16",-16.985668981009,-17.2489410955849,1.37211524949598,-18.4270852683392,-15.3551372490344,-18.4718971690061,-15.3350442383446,6,3.07194801930483,3.13685293066152,0.0807807600059838,"Tegeolepis_clarki",1,"Tegeolepis clarki"
5,93,94,8.066865,9.58103,1.514165,-19.7882324570944,1,2.54729848476631e-09,"near-zero","value",TRUE,FALSE,"near-zero",-19.7882324570944,-20.1356109642333,2.49500609234345,-23.1085070347873,-16.5663546758716,-23.4168050295921,-16.4066484489365,6,6.54215235891573,7.01015658065552,0.12608534378971,"Arquatichthys_porosus | Asperocephalus_milleri | Asperocephalus_sp | Cathlorhynchus_trismodipterus | Chirodipterus_australis | Chirodipterus_wildungensis | Diabolepis_speratus | Dipnorhynchus_cathlesae | Dipnorhynchus_kurikae | Dipnorhynchus_sussmilchi | Dipterus_valenciennesi | Durialepis_edentatus | Glyptolepis_paucidens | Griphognathus_sculpta | Griphognathus_whitei | Heimenia_ensis | Holodipterus_gogoensis | Holodipterus_santacrucensis | Holoptychius_bergmanni | Holoptychius_giganteus | Holoptychius_jarviki | Iowadipterus_halli | Laccognathus_embryi | Orlovichthys_limnatis | Pillararhynchus_longi | Porolepis_brevis | Powichthys_thorsteinssoni | Quebecius_quebecensis | Rhinodipterus_kimberleyensis | Rhinodipterus_ulrichi | Rhynchodipterus_elginensis | Robinsondipterus_longi | Speonesydrion_iani | Uranolophus_wyomingensis | Youngolepis_praecursor",35,"Arquatichthys porosus; Asperocephalus milleri; ..."
