"edge","child","clade_key","value_equal","value_ic","difference","abs_difference","descendant_tips","descendant_examples"
123,152,"Diplocercides_kayseri | Miguashaia_grossi | Ngamugawi_wirngarri | Onychodus_jandemarrai | Strunius_rolandi | Styloichthys_changae",-13.4308002699315,-13.2615816257124,0.169218644219079,0.169218644219079,6,"Diplocercides kayseri; Miguashaia grossi; ..."
125,154,"Diplocercides_kayseri | Miguashaia_grossi | Ngamugawi_wirngarri",-13.4308002699315,-13.2615816257124,0.169218644219079,0.169218644219079,3,"Diplocercides kayseri; Miguashaia grossi; ..."
126,155,"Diplocercides_kayseri | Ngamugawi_wirngarri",-13.4308002699315,-13.2615816257124,0.169218644219079,0.169218644219079,2,"Diplocercides kayseri; Ngamugawi wirngarri"
127,65,"Diplocercides_kayseri",-13.4308002699315,-13.2615816257124,0.169218644219079,0.169218644219079,1,"Diplocercides kayseri"
128,66,"Ngamugawi_wirngarri",-13.4308002699315,-13.2615816257124,0.169218644219079,0.169218644219079,1,"Ngamugawi wirngarri"
130,68,"Styloichthys_changae",-13.4308002699315,-13.2615816257124,0.169218644219079,0.169218644219079,1,"Styloichthys changae"
131,156,"Onychodus_jandemarrai | Strunius_rolandi",-13.4308002699315,-13.2615816257124,0.169218644219079,0.169218644219079,2,"Onychodus jandemarrai; Strunius rolandi"
132,69,"Onychodus_jandemarrai",-13.4308002699315,-13.2615816257124,0.169218644219079,0.169218644219079,1,"Onychodus jandemarrai"
133,70,"Strunius_rolandi",-13.4308002699315,-13.2615816257124,0.169218644219079,0.169218644219079,1,"Strunius rolandi"
11,115,"Chirodipterus_australis | Chirodipterus_wildungensis | Dipterus_valenciennesi | Griphognathus_sculpta | Griphognathus_whitei | Holodipterus_gogoensis | Holodipterus_santacrucensis | Orlovichthys_limnatis | Pillararhynchus_longi | Rhinodipterus_kimberleyensis | Rhinodipterus_ulrichi | Rhynchodipterus_elginensis | Robinsondipterus_longi",-12.4501510565734,-12.3043961640313,0.145754892542094,0.145754892542094,13,"Chirodipterus australis; Chirodipterus wildungensis; ..."
36,35,"Iowadipterus_halli",-12.4501510565734,-12.3043961640313,0.145754892542094,0.145754892542094,1,"Iowadipterus halli"
146,168,"Gogosardina_coatesi | Mimipiscis_bartrami | Mimipiscis_toombsi",-14.9602635982311,-15.084951442736,-0.12468784450498,0.12468784450498,3,"Gogosardina coatesi; Mimipiscis bartrami; ..."
151,77,"Howqualepis_rostridens",-14.9602635982311,-15.084951442736,-0.12468784450498,0.12468784450498,1,"Howqualepis rostridens"
156,164,"Cuneognathus_gardineri | Kentuckia_hlavini | Limnomis_delayni",-14.9602635982311,-15.084951442736,-0.12468784450498,0.12468784450498,3,"Cuneognathus gardineri; Kentuckia hlavini; ..."
148,78,"Gogosardina_coatesi",-14.9602635982311,-15.084951442736,-0.124687844504978,0.124687844504978,1,"Gogosardina coatesi"
149,79,"Mimipiscis_bartrami",-14.9602635982311,-15.084951442736,-0.124687844504978,0.124687844504978,1,"Mimipiscis bartrami"
152,170,"Moythomasia_durgaringa | Raynerius_splendens",-14.9602635982311,-15.084951442736,-0.124687844504978,0.124687844504978,2,"Moythomasia durgaringa; Raynerius splendens"
153,81,"Moythomasia_durgaringa",-14.9602635982311,-15.084951442736,-0.124687844504978,0.124687844504978,1,"Moythomasia durgaringa"
155,163,"Cuneognathus_gardineri | Kentuckia_hlavini | Limnomis_delayni | Paleoneiros_clackorum",-14.9602635982311,-15.084951442736,-0.124687844504978,0.124687844504978,4,"Cuneognathus gardineri; Kentuckia hlavini; ..."
157,165,"Cuneognathus_gardineri | Limnomis_delayni",-14.9602635982311,-15.084951442736,-0.124687844504978,0.124687844504978,2,"Cuneognathus gardineri; Limnomis delayni"
159,74,"Limnomis_delayni",-14.9602635982311,-15.084951442736,-0.124687844504978,0.124687844504978,1,"Limnomis delayni"
160,75,"Kentuckia_hlavini",-14.9602635982311,-15.084951442736,-0.124687844504978,0.124687844504978,1,"Kentuckia hlavini"
161,76,"Paleoneiros_clackorum",-14.9602635982311,-15.084951442736,-0.124687844504978,0.124687844504978,1,"Paleoneiros clackorum"
144,166,"Gogosardina_coatesi | Howqualepis_rostridens | Mimipiscis_bartrami | Mimipiscis_toombsi | Moythomasia_durgaringa | Raynerius_splendens",-14.9602635982311,-15.084951442736,-0.124687844504976,0.124687844504976,6,"Gogosardina coatesi; Howqualepis rostridens; ..."
145,167,"Gogosardina_coatesi | Howqualepis_rostridens | Mimipiscis_bartrami | Mimipiscis_toombsi",-14.9602635982311,-15.084951442736,-0.124687844504976,0.124687844504976,4,"Gogosardina coatesi; Howqualepis rostridens; ..."
147,169,"Gogosardina_coatesi | Mimipiscis_bartrami",-14.9602635982311,-15.084951442736,-0.124687844504976,0.124687844504976,2,"Gogosardina coatesi; Mimipiscis bartrami"
150,80,"Mimipiscis_toombsi",-14.9602635982311,-15.084951442736,-0.124687844504976,0.124687844504976,1,"Mimipiscis toombsi"
154,82,"Raynerius_splendens",-14.9602635982311,-15.084951442736,-0.124687844504976,0.124687844504976,1,"Raynerius splendens"
158,73,"Cuneognathus_gardineri",-14.9602635982311,-15.084951442736,-0.124687844504976,0.124687844504976,1,"Cuneognathus gardineri"
52,98,"Asperocephalus_milleri | Asperocephalus_sp | Durialepis_edentatus | Glyptolepis_paucidens | Heimenia_ensis | Holoptychius_bergmanni | Holoptychius_giganteus | Holoptychius_jarviki | Laccognathus_embryi | Quebecius_quebecensis",-16.5677280933718,-16.4679801659719,0.0997479273999176,0.0997479273999176,10,"Asperocephalus milleri; Asperocephalus sp; ..."
71,16,"Porolepis_brevis",-16.5677280933718,-16.4679801659719,0.0997479273999176,0.0997479273999176,1,"Porolepis brevis"
8,109,"Cathlorhynchus_trismodipterus | Chirodipterus_australis | Chirodipterus_wildungensis | Dipnorhynchus_cathlesae | Dipnorhynchus_kurikae | Dipnorhynchus_sussmilchi | Dipterus_valenciennesi | Griphognathus_sculpta | Griphognathus_whitei | Holodipterus_gogoensis | Holodipterus_santacrucensis | Iowadipterus_halli | Orlovichthys_limnatis | Pillararhynchus_longi | Rhinodipterus_kimberleyensis | Rhinodipterus_ulrichi | Rhynchodipterus_elginensis | Robinsondipterus_longi | Speonesydrion_iani | Uranolophus_wyomingensis",-12.3544031738253,-12.28797552857,0.0664276452552972,0.0664276452552972,20,"Cathlorhynchus trismodipterus; Chirodipterus australis; ..."
9,113,"Chirodipterus_australis | Chirodipterus_wildungensis | Dipnorhynchus_cathlesae | Dipnorhynchus_kurikae | Dipterus_valenciennesi | Griphognathus_sculpta | Griphognathus_whitei | Holodipterus_gogoensis | Holodipterus_santacrucensis | Iowadipterus_halli | Orlovichthys_limnatis | Pillararhynchus_longi | Rhinodipterus_kimberleyensis | Rhinodipterus_ulrichi | Rhynchodipterus_elginensis | Robinsondipterus_longi",-12.3544031738252,-12.28797552857,0.0664276452552972,0.0664276452552972,16,"Chirodipterus australis; Chirodipterus wildungensis; ..."
40,110,"Cathlorhynchus_trismodipterus | Dipnorhynchus_sussmilchi | Speonesydrion_iani | Uranolophus_wyomingensis",-12.3544031738252,-12.28797552857,0.0664276452552972,0.0664276452552972,4,"Cathlorhynchus trismodipterus; Dipnorhynchus sussmilchi; ..."
41,111,"Cathlorhynchus_trismodipterus | Dipnorhynchus_sussmilchi | Uranolophus_wyomingensis",-12.3544031738252,-12.28797552857,0.0664276452552972,0.0664276452552972,3,"Cathlorhynchus trismodipterus; Dipnorhynchus sussmilchi; ..."
42,112,"Dipnorhynchus_sussmilchi | Uranolophus_wyomingensis",-12.3544031738252,-12.28797552857,0.0664276452552972,0.0664276452552972,2,"Dipnorhynchus sussmilchi; Uranolophus wyomingensis"
43,19,"Dipnorhynchus_sussmilchi",-12.3544031738252,-12.28797552857,0.0664276452552972,0.0664276452552972,1,"Dipnorhynchus sussmilchi"
44,20,"Uranolophus_wyomingensis",-12.3544031738252,-12.28797552857,0.0664276452552972,0.0664276452552972,1,"Uranolophus wyomingensis"
45,18,"Cathlorhynchus_trismodipterus",-12.3544031738252,-12.28797552857,0.0664276452552972,0.0664276452552972,1,"Cathlorhynchus trismodipterus"
46,21,"Speonesydrion_iani",-12.3544031738252,-12.28797552857,0.0664276452552972,0.0664276452552972,1,"Speonesydrion iani"
47,38,"Diabolepis_speratus",-12.3544031738252,-12.28797552857,0.0664276452552972,0.0664276452552972,1,"Diabolepis speratus"
10,114,"Chirodipterus_australis | Chirodipterus_wildungensis | Dipterus_valenciennesi | Griphognathus_sculpta | Griphognathus_whitei | Holodipterus_gogoensis | Holodipterus_santacrucensis | Iowadipterus_halli | Orlovichthys_limnatis | Pillararhynchus_longi | Rhinodipterus_kimberleyensis | Rhinodipterus_ulrichi | Rhynchodipterus_elginensis | Robinsondipterus_longi",-12.3569143308728,-12.3043961640313,0.0525181668415069,0.0525181668415069,14,"Chirodipterus australis; Chirodipterus wildungensis; ..."
37,127,"Dipnorhynchus_cathlesae | Dipnorhynchus_kurikae",-12.3569143308728,-12.3043961640313,0.0525181668415069,0.0525181668415069,2,"Dipnorhynchus cathlesae; Dipnorhynchus kurikae"
38,36,"Dipnorhynchus_cathlesae",-12.3569143308728,-12.3043961640313,0.0525181668415069,0.0525181668415069,1,"Dipnorhynchus cathlesae"
39,37,"Dipnorhynchus_kurikae",-12.3569143308728,-12.3043961640313,0.0525181668415069,0.0525181668415069,1,"Dipnorhynchus kurikae"
33,23,"Chirodipterus_wildungensis",-11.405847998585,-11.3574134790911,0.0484345194938118,0.0484345194938118,1,"Chirodipterus wildungensis"
22,124,"Holodipterus_gogoensis | Holodipterus_santacrucensis",-11.405847998585,-11.3574134790911,0.0484345194938101,0.0484345194938101,2,"Holodipterus gogoensis; Holodipterus santacrucensis"
13,119,"Griphognathus_sculpta | Griphognathus_whitei | Holodipterus_gogoensis | Holodipterus_santacrucensis | Orlovichthys_limnatis | Rhinodipterus_kimberleyensis | Rhinodipterus_ulrichi | Rhynchodipterus_elginensis | Robinsondipterus_longi",-11.405847998585,-11.3574134790911,0.0484345194938083,0.0484345194938083,9,"Griphognathus sculpta; Griphognathus whitei; ..."
14,120,"Griphognathus_sculpta | Griphognathus_whitei | Holodipterus_gogoensis | Holodipterus_santacrucensis | Rhynchodipterus_elginensis | Robinsondipterus_longi",-11.405847998585,-11.3574134790911,0.0484345194938083,0.0484345194938083,6,"Griphognathus sculpta; Griphognathus whitei; ..."
15,121,"Griphognathus_sculpta | Griphognathus_whitei | Rhynchodipterus_elginensis | Robinsondipterus_longi",-11.405847998585,-11.3574134790911,0.0484345194938083,0.0484345194938083,4,"Griphognathus sculpta; Griphognathus whitei; ..."
16,122,"Griphognathus_sculpta | Griphognathus_whitei | Rhynchodipterus_elginensis",-11.405847998585,-11.3574134790911,0.0484345194938083,0.0484345194938083,3,"Griphognathus sculpta; Griphognathus whitei; ..."
17,123,"Griphognathus_sculpta | Griphognathus_whitei",-11.405847998585,-11.3574134790911,0.0484345194938083,0.0484345194938083,2,"Griphognathus sculpta; Griphognathus whitei"
18,25,"Griphognathus_sculpta",-11.405847998585,-11.3574134790911,0.0484345194938083,0.0484345194938083,1,"Griphognathus sculpta"
19,26,"Griphognathus_whitei",-11.405847998585,-11.3574134790911,0.0484345194938083,0.0484345194938083,1,"Griphognathus whitei"
20,27,"Rhynchodipterus_elginensis",-11.405847998585,-11.3574134790911,0.0484345194938083,0.0484345194938083,1,"Rhynchodipterus elginensis"
21,28,"Robinsondipterus_longi",-11.405847998585,-11.3574134790911,0.0484345194938083,0.0484345194938083,1,"Robinsondipterus longi"
23,29,"Holodipterus_gogoensis",-11.405847998585,-11.3574134790911,0.0484345194938083,0.0484345194938083,1,"Holodipterus gogoensis"
24,30,"Holodipterus_santacrucensis",-11.405847998585,-11.3574134790911,0.0484345194938083,0.0484345194938083,1,"Holodipterus santacrucensis"
25,125,"Orlovichthys_limnatis | Rhinodipterus_kimberleyensis | Rhinodipterus_ulrichi",-11.405847998585,-11.3574134790911,0.0484345194938083,0.0484345194938083,3,"Orlovichthys limnatis; Rhinodipterus kimberleyensis; ..."
26,126,"Rhinodipterus_kimberleyensis | Rhinodipterus_ulrichi",-11.405847998585,-11.3574134790911,0.0484345194938083,0.0484345194938083,2,"Rhinodipterus kimberleyensis; Rhinodipterus ulrichi"
27,32,"Rhinodipterus_kimberleyensis",-11.405847998585,-11.3574134790911,0.0484345194938083,0.0484345194938083,1,"Rhinodipterus kimberleyensis"
28,33,"Rhinodipterus_ulrichi",-11.405847998585,-11.3574134790911,0.0484345194938083,0.0484345194938083,1,"Rhinodipterus ulrichi"
29,31,"Orlovichthys_limnatis",-11.405847998585,-11.3574134790911,0.0484345194938083,0.0484345194938083,1,"Orlovichthys limnatis"
30,117,"Chirodipterus_australis | Chirodipterus_wildungensis | Pillararhynchus_longi",-11.405847998585,-11.3574134790911,0.0484345194938083,0.0484345194938083,3,"Chirodipterus australis; Chirodipterus wildungensis; ..."
31,118,"Chirodipterus_australis | Chirodipterus_wildungensis",-11.405847998585,-11.3574134790911,0.0484345194938083,0.0484345194938083,2,"Chirodipterus australis; Chirodipterus wildungensis"
32,22,"Chirodipterus_australis",-11.405847998585,-11.3574134790911,0.0484345194938083,0.0484345194938083,1,"Chirodipterus australis"
34,24,"Pillararhynchus_longi",-11.405847998585,-11.3574134790911,0.0484345194938083,0.0484345194938083,1,"Pillararhynchus longi"
81,142,"Eusthenopteron_foordi | Eusthenopteron_jenkinsi | Eusthenopteron_saevesoederberghi | Hyneria_lindae | Jarvikina_wenjukowi | Platycephalichthys_bischoffi | Platycephalichthys_skuenicus | Polyplocodus_leptognathus | Spodichthys_buetleri",-21.6976004799276,-21.6675565498079,0.0300439301196889,0.0300439301196889,9,"Eusthenopteron foordi; Eusthenopteron jenkinsi; ..."
82,143,"Eusthenopteron_foordi | Eusthenopteron_jenkinsi | Eusthenopteron_saevesoederberghi | Hyneria_lindae | Jarvikina_wenjukowi | Platycephalichthys_bischoffi | Platycephalichthys_skuenicus | Spodichthys_buetleri",-21.6976004799276,-21.6675565498079,0.0300439301196889,0.0300439301196889,8,"Eusthenopteron foordi; Eusthenopteron jenkinsi; ..."
83,144,"Eusthenopteron_foordi | Eusthenopteron_jenkinsi | Eusthenopteron_saevesoederberghi | Hyneria_lindae | Jarvikina_wenjukowi | Platycephalichthys_bischoffi | Platycephalichthys_skuenicus",-21.6976004799276,-21.6675565498079,0.0300439301196889,0.0300439301196889,7,"Eusthenopteron foordi; Eusthenopteron jenkinsi; ..."
84,147,"Hyneria_lindae | Jarvikina_wenjukowi | Platycephalichthys_bischoffi | Platycephalichthys_skuenicus",-21.6976004799276,-21.6675565498079,0.0300439301196889,0.0300439301196889,4,"Hyneria lindae; Jarvikina wenjukowi; ..."
85,148,"Hyneria_lindae | Platycephalichthys_bischoffi | Platycephalichthys_skuenicus",-21.6976004799276,-21.6675565498079,0.0300439301196889,0.0300439301196889,3,"Hyneria lindae; Platycephalichthys bischoffi; ..."
86,149,"Platycephalichthys_bischoffi | Platycephalichthys_skuenicus",-21.6976004799276,-21.6675565498079,0.0300439301196889,0.0300439301196889,2,"Platycephalichthys bischoffi; Platycephalichthys skuenicus"
87,52,"Platycephalichthys_bischoffi",-21.6976004799276,-21.6675565498079,0.0300439301196889,0.0300439301196889,1,"Platycephalichthys bischoffi"
88,53,"Platycephalichthys_skuenicus",-21.6976004799276,-21.6675565498079,0.0300439301196889,0.0300439301196889,1,"Platycephalichthys skuenicus"
89,51,"Hyneria_lindae",-21.6976004799276,-21.6675565498079,0.0300439301196889,0.0300439301196889,1,"Hyneria lindae"
90,54,"Jarvikina_wenjukowi",-21.6976004799276,-21.6675565498079,0.0300439301196889,0.0300439301196889,1,"Jarvikina wenjukowi"
91,145,"Eusthenopteron_foordi | Eusthenopteron_jenkinsi | Eusthenopteron_saevesoederberghi",-21.6976004799276,-21.6675565498079,0.0300439301196889,0.0300439301196889,3,"Eusthenopteron foordi; Eusthenopteron jenkinsi; ..."
92,146,"Eusthenopteron_foordi | Eusthenopteron_jenkinsi",-21.6976004799276,-21.6675565498079,0.0300439301196889,0.0300439301196889,2,"Eusthenopteron foordi; Eusthenopteron jenkinsi"
93,48,"Eusthenopteron_foordi",-21.6976004799276,-21.6675565498079,0.0300439301196889,0.0300439301196889,1,"Eusthenopteron foordi"
94,49,"Eusthenopteron_jenkinsi",-21.6976004799276,-21.6675565498079,0.0300439301196889,0.0300439301196889,1,"Eusthenopteron jenkinsi"
95,50,"Eusthenopteron_saevesoederberghi",-21.6976004799276,-21.6675565498079,0.0300439301196889,0.0300439301196889,1,"Eusthenopteron saevesoederberghi"
96,55,"Spodichthys_buetleri",-21.6976004799276,-21.6675565498079,0.0300439301196889,0.0300439301196889,1,"Spodichthys buetleri"
97,56,"Polyplocodus_leptognathus",-21.6976004799276,-21.6675565498079,0.0300439301196889,0.0300439301196889,1,"Polyplocodus leptognathus"
98,150,"Panderichthys_sp | Tiktaalik_roseae",-21.6976004799276,-21.6675565498079,0.0300439301196889,0.0300439301196889,2,"Panderichthys sp; Tiktaalik roseae"
99,57,"Panderichthys_sp",-21.6976004799276,-21.6675565498079,0.0300439301196889,0.0300439301196889,1,"Panderichthys sp"
100,58,"Tiktaalik_roseae",-21.6976004799276,-21.6675565498079,0.0300439301196889,0.0300439301196889,1,"Tiktaalik roseae"
162,83,"Osorioichthys_marginis",-15.0856817335894,-15.084951442736,0.000730290853420357,0.000730290853420357,1,"Osorioichthys marginis"
143,162,"Cuneognathus_gardineri | Gogosardina_coatesi | Howqualepis_rostridens | Kentuckia_hlavini | Limnomis_delayni | Mimipiscis_bartrami | Mimipiscis_toombsi | Moythomasia_durgaringa | Paleoneiros_clackorum | Raynerius_splendens",-15.0856817335894,-15.084951442736,0.00073029085341858,0.00073029085341858,10,"Cuneognathus gardineri; Gogosardina coatesi; ..."
