"edge","child","clade_key","value_equal","value_ic","difference","abs_difference","descendant_tips","descendant_examples"
74,128,"Cryptolepis_grossi | Eusthenopteron_foordi | Eusthenopteron_jenkinsi | Eusthenopteron_saevesoederberghi | Gogonasus_andrewsae | Gyroptychius_groenlandicus | Gyroptychius_milleri | Hyneria_lindae | Jarvikina_wenjukowi | Kenichthys_campbelli | Koharalepis_jarviki | Latvius_grewingki | Latvius_sp | Litoptychus_bryanti | Medoevia_lata | Megalichthys_mullisoni | Osteolepis_sp | Panderichthys_sp | Platycephalichthys_bischoffi | Platycephalichthys_skuenicus | Polyplocodus_leptognathus | Spodichthys_buetleri | Thursius_estonicus | Tiktaalik_roseae | Tungsenia_paradoxa",-19.7882324570944,-20.7714524645434,-0.98322000744897,0.98322000744897,25,"Cryptolepis grossi; Eusthenopteron foordi; ..."
142,161,"Cuneognathus_gardineri | Gogosardina_coatesi | Howqualepis_rostridens | Kentuckia_hlavini | Limnomis_delayni | Mimipiscis_bartrami | Mimipiscis_toombsi | Moythomasia_durgaringa | Osorioichthys_marginis | Paleoneiros_clackorum | Raynerius_splendens",-16.985668981009,-17.9282276275908,-0.942558646581798,0.942558646581798,11,"Cuneognathus gardineri; Gogosardina coatesi; ..."
163,160,"Austelliscus_ferox | Tegeolepis_clarki",-16.985668981009,-17.9282276275908,-0.942558646581798,0.942558646581798,2,"Austelliscus ferox; Tegeolepis clarki"
164,71,"Austelliscus_ferox",-16.985668981009,-17.9282276275908,-0.942558646581798,0.942558646581798,1,"Austelliscus ferox"
165,72,"Tegeolepis_clarki",-16.985668981009,-17.9282276275908,-0.942558646581798,0.942558646581798,1,"Tegeolepis clarki"
6,107,"Cathlorhynchus_trismodipterus | Chirodipterus_australis | Chirodipterus_wildungensis | Diabolepis_speratus | Dipnorhynchus_cathlesae | Dipnorhynchus_kurikae | Dipnorhynchus_sussmilchi | Dipterus_valenciennesi | Griphognathus_sculpta | Griphognathus_whitei | Holodipterus_gogoensis | Holodipterus_santacrucensis | Iowadipterus_halli | Orlovichthys_limnatis | Pillararhynchus_longi | Rhinodipterus_kimberleyensis | Rhinodipterus_ulrichi | Rhynchodipterus_elginensis | Robinsondipterus_longi | Speonesydrion_iani | Uranolophus_wyomingensis | Youngolepis_praecursor",-16.975608776611,-16.1049582838184,0.870650492792553,0.870650492792553,22,"Cathlorhynchus trismodipterus; Chirodipterus australis; ..."
49,95,"Arquatichthys_porosus | Asperocephalus_milleri | Asperocephalus_sp | Durialepis_edentatus | Glyptolepis_paucidens | Heimenia_ensis | Holoptychius_bergmanni | Holoptychius_giganteus | Holoptychius_jarviki | Laccognathus_embryi | Porolepis_brevis | Powichthys_thorsteinssoni | Quebecius_quebecensis",-16.975608776611,-16.1049582838184,0.870650492792553,0.870650492792553,13,"Arquatichthys porosus; Asperocephalus milleri; ..."
12,116,"Chirodipterus_australis | Chirodipterus_wildungensis | Griphognathus_sculpta | Griphognathus_whitei | Holodipterus_gogoensis | Holodipterus_santacrucensis | Orlovichthys_limnatis | Pillararhynchus_longi | Rhinodipterus_kimberleyensis | Rhinodipterus_ulrichi | Rhynchodipterus_elginensis | Robinsondipterus_longi",-16.2482948860505,-15.7780879109236,0.470206975126825,0.470206975126825,12,"Chirodipterus australis; Chirodipterus wildungensis; ..."
35,34,"Dipterus_valenciennesi",-16.2482948860505,-15.7780879109236,0.470206975126825,0.470206975126825,1,"Dipterus valenciennesi"
120,62,"Thursius_estonicus",-21.2582031150953,-21.667556549808,-0.409353434712663,0.409353434712663,1,"Thursius estonicus"
76,130,"Cryptolepis_grossi | Eusthenopteron_foordi | Eusthenopteron_jenkinsi | Eusthenopteron_saevesoederberghi | Gogonasus_andrewsae | Gyroptychius_groenlandicus | Gyroptychius_milleri | Hyneria_lindae | Jarvikina_wenjukowi | Koharalepis_jarviki | Latvius_grewingki | Latvius_sp | Litoptychus_bryanti | Medoevia_lata | Megalichthys_mullisoni | Osteolepis_sp | Panderichthys_sp | Platycephalichthys_bischoffi | Platycephalichthys_skuenicus | Polyplocodus_leptognathus | Spodichthys_buetleri | Thursius_estonicus | Tiktaalik_roseae",-21.2582031150953,-21.6675565498079,-0.40935343471266,0.40935343471266,23,"Cryptolepis grossi; Eusthenopteron foordi; ..."
77,131,"Cryptolepis_grossi | Eusthenopteron_foordi | Eusthenopteron_jenkinsi | Eusthenopteron_saevesoederberghi | Gogonasus_andrewsae | Gyroptychius_groenlandicus | Gyroptychius_milleri | Hyneria_lindae | Jarvikina_wenjukowi | Koharalepis_jarviki | Latvius_grewingki | Latvius_sp | Litoptychus_bryanti | Medoevia_lata | Megalichthys_mullisoni | Osteolepis_sp | Panderichthys_sp | Platycephalichthys_bischoffi | Platycephalichthys_skuenicus | Polyplocodus_leptognathus | Spodichthys_buetleri | Tiktaalik_roseae",-21.2582031150953,-21.6675565498079,-0.40935343471266,0.40935343471266,22,"Cryptolepis grossi; Eusthenopteron foordi; ..."
79,140,"Eusthenopteron_foordi | Eusthenopteron_jenkinsi | Eusthenopteron_saevesoederberghi | Gyroptychius_groenlandicus | Gyroptychius_milleri | Hyneria_lindae | Jarvikina_wenjukowi | Panderichthys_sp | Platycephalichthys_bischoffi | Platycephalichthys_skuenicus | Polyplocodus_leptognathus | Spodichthys_buetleri | Tiktaalik_roseae",-21.2582031150953,-21.6675565498079,-0.40935343471266,0.40935343471266,13,"Eusthenopteron foordi; Eusthenopteron jenkinsi; ..."
80,141,"Eusthenopteron_foordi | Eusthenopteron_jenkinsi | Eusthenopteron_saevesoederberghi | Hyneria_lindae | Jarvikina_wenjukowi | Panderichthys_sp | Platycephalichthys_bischoffi | Platycephalichthys_skuenicus | Polyplocodus_leptognathus | Spodichthys_buetleri | Tiktaalik_roseae",-21.2582031150953,-21.6675565498079,-0.40935343471266,0.40935343471266,11,"Eusthenopteron foordi; Eusthenopteron jenkinsi; ..."
